N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.981176,0.0589770889753
100,4,1,2,1.012454,0.0209982828822
100,4,1,3,0.87131,0.213484392638
100,4,2,1,0.734958,0.0405274257263
100,4,3,1,0.727502,0.0641373058056
100,4,2,2,0.590026,0.0298466970367
100,4,3,3,0.601136,0.0286617079742
100,8,1,1,0.675418,0.0624794948443
100,8,1,2,0.57313,0.0562337007496
100,8,1,3,0.570566,0.0258914202778
100,8,1,4,0.557978,0.0202022156211
100,8,1,5,0.593936,0.0534238140158
100,8,1,6,0.59309,0.0201381702247
100,8,1,7,0.64641,0.0243286230601
100,8,1,8,0.672666,0.0148808079082
100,8,1,9,0.69947,0.0147198199717
100,8,2,1,0.718438,0.0472210774549
100,8,3,1,0.71075,0.0688112163822
100,8,4,1,0.697578,0.0484931739114
100,8,5,1,0.695108,0.0184025089594
100,8,6,1,0.74791,0.0325813121283
100,8,7,1,0.806324,0.042164902751
100,8,8,1,0.887542,0.0256267874694
100,8,9,1,0.940952,0.0261372855515
100,8,2,2,0.577486,0.0285204804307
100,8,3,3,0.602288,0.031217576075
100,8,4,4,0.706804,0.0159951737721
100,8,5,5,0.78467,0.0248712102641
100,8,6,6,0.871062,0.0365476969999
100,8,2,6,0.658228,0.0507180837177
100,8,6,2,0.752546,0.0487308104181
100,8,4,9,0.841652,0.0226606905455
100,8,9,4,0.969204,0.0241532271964
200,8,1,1,0.836312,0.214046066668
200,8,1,2,0.706758,0.0424312554139
200,8,1,3,0.73804,0.027953647347
200,8,2,1,0.748662,0.0365958434252
200,8,3,1,0.748094,0.0400864710844
200,8,2,2,0.652228,0.0289320586202
200,8,3,3,0.665828,0.0312211853715
300,8,1,1,0.72132,0.0657768165846
300,8,1,2,0.813794,0.0473846764682
300,8,1,3,0.865126,0.0768379731903
300,8,2,1,0.833896,0.0512643461287
300,8,3,1,0.884318,0.0700731109342
300,8,2,2,0.703502,0.0642717822687
300,8,3,3,0.831972,0.103759603006
398,8,1,1,0.832768,0.0859297281271
398,8,1,2,0.94187,0.0558442933521
398,8,1,3,1.008484,0.0732217026844
398,8,2,1,0.969796,0.0596923310317
398,8,3,1,1.017752,0.0653135399133
398,8,2,2,0.790532,0.0825467684165
398,8,3,3,0.923186,0.11977468599
500,8,1,1,0.92534,0.0793695936742
500,8,1,2,1.08472,0.0726982915893
500,8,1,3,1.151262,0.0553048764215
500,8,2,1,1.092162,0.0627196600437
500,8,3,1,1.1364,0.0718181314154
500,8,2,2,0.85722,0.085474461683
500,8,3,3,0.99981,0.141268856794
750,8,1,1,1.176922,0.0847648743053
750,8,1,2,1.436894,0.0854653775748
750,8,1,3,1.520106,0.10108621451
750,8,2,1,1.426504,0.0793052708463
750,8,3,1,1.480962,0.106451531487
750,8,2,2,1.062618,0.107415697531
750,8,3,3,1.204736,0.207190121154
1000,8,1,1,1.435726,0.102640025935
1000,8,1,2,1.764468,0.104116727647
1000,8,1,3,1.874788,0.103446213348
1000,8,2,1,1.750764,0.0985073616741
1000,8,3,1,1.78151,0.074484803148
1000,8,2,2,1.242036,0.0816832094374
1000,8,3,3,1.432626,0.266121788142
