N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.39552,0.0754345385086
100,4,1,2,0.38239,0.0596084046087
100,4,1,3,0.421372,0.115214398475
100,4,2,1,0.377542,0.0611043389294
100,4,3,1,0.38928,0.0765559507811
100,4,2,2,0.359064,0.0539694349053
100,4,3,3,0.382042,0.0870381768881
100,8,1,1,0.362358,0.0767645350145
100,8,1,2,0.370266,0.0587200753065
100,8,1,3,0.403288,0.0870742043087
100,8,1,4,0.430764,0.118964432937
100,8,1,5,0.47156,0.173210895731
100,8,1,6,0.457622,0.129061888705
100,8,1,7,0.474912,0.14807526551
100,8,1,8,0.48033,0.143087976784
100,8,1,9,0.502038,0.16336922769
100,8,2,1,0.359326,0.0639773688424
100,8,3,1,0.38188,0.0762803880431
100,8,4,1,0.414648,0.118993882599
100,8,5,1,0.448892,0.149747548681
100,8,6,1,0.446608,0.129021387126
100,8,7,1,0.467034,0.132038103758
100,8,8,1,0.476256,0.148773245122
100,8,9,1,0.48609,0.163479606985
100,8,2,2,0.36221,0.08477031261
100,8,3,3,0.366714,0.0908226414723
100,8,4,4,0.420758,0.159928482254
100,8,5,5,0.48108,0.223844190454
100,8,6,6,0.590658,0.314157115208
100,8,2,6,0.433352,0.137170901054
100,8,6,2,0.436344,0.11593241852
100,8,4,9,0.533302,0.192826063581
100,8,9,4,0.536498,0.17787695184
200,8,1,1,0.46389,0.080617131554
200,8,1,2,0.488518,0.0780694926075
200,8,1,3,0.553846,0.098313408465
200,8,2,1,0.475868,0.0862046783881
200,8,3,1,0.555004,0.202036927278
200,8,2,2,0.439716,0.140829923468
200,8,3,3,0.443722,0.0996357602269
300,8,1,1,0.571604,0.0738416629282
300,8,1,2,0.628222,0.114815089235
300,8,1,3,0.731434,0.140174568464
300,8,2,1,0.621722,0.189613419135
300,8,3,1,0.589522,0.0640199774758
300,8,2,2,0.4469,0.059219101648
300,8,3,3,0.45584,0.0463278145394
398,8,1,1,0.712496,0.0391117115964
398,8,1,2,0.728638,0.0544376244522
398,8,1,3,0.768954,0.033453368799
398,8,2,1,0.640708,0.0639302646326
398,8,3,1,0.710864,0.0419312950432
398,8,2,2,0.502364,0.0538023745201
398,8,3,3,0.51548,0.0670289907428
500,8,1,1,0.810284,0.0729583946095
500,8,1,2,0.849366,0.091981998478
500,8,1,3,0.885746,0.0450374675576
500,8,2,1,0.716852,0.0595968295801
500,8,3,1,0.839002,0.0694347607182
500,8,2,2,0.572566,0.0810062815095
500,8,3,3,0.571068,0.0648059208406
750,8,1,1,1.081784,0.0546723453311
750,8,1,2,1.11299,0.0969331001258
750,8,1,3,1.20185,0.0521106467049
750,8,2,1,1.07113,0.0857349467837
750,8,3,1,1.140836,0.0793648102373
750,8,2,2,0.709078,0.0677914442684
750,8,3,3,0.724028,0.0819988732606
1000,8,1,1,1.33578,0.0607976940352
1000,8,1,2,1.357746,0.094820111179
1000,8,1,3,1.521788,0.0715895736543
1000,8,2,1,1.384138,0.0783511005411
1000,8,3,1,1.451968,0.0737427079514
1000,8,2,2,0.892876,0.142847557291
1000,8,3,3,0.894342,0.0917893732193
